exp,event,branch,pipeline
2.76,1,first,js
2.99,1,first,js
4.83,0,first,js
0.53,1,first,js
0.56,1,first,js
0.56,1,first,js
1.41,1,first,js
3.55,1,first,ref
4.17,1,first,ref
4.17,1,first,js
3.52,1,first,js
4.76,0,first,js
0.46,1,first,js
0.72,1,first,js
0.76,1,first,ref
0.76,1,first,js
0.89,1,first,js
0.89,1,first,js
1.12,1,first,js
1.22,1,first,js
1.22,1,first,ref
1.22,1,first,js
1.45,1,first,js
2.66,1,first,js
4.73,0,first,js
0.82,1,first,js
1.05,1,first,js
1.12,1,first,js
1.51,1,first,js
3.81,1,first,ref
4.70,0,first,ref
4.70,0,first,ref
4.70,0,first,js
4.70,0,first,ref
0.39,1,first,js
0.39,1,first,js
0.43,1,first,js
0.66,1,first,js
0.66,1,first,js
0.69,1,first,js
0.82,1,first,ref
1.02,1,first,js
1.08,1,first,ref
1.97,1,first,ref
2.20,1,first,js
3.68,1,first,ref
3.91,1,first,js
2.46,1,first,ref
4.11,0,first,ref
0.89,1,first,js
0.89,1,first,js
1.58,1,first,js
4.07,0,first,js
4.04,0,first,js
4.01,0,first,js
3.91,0,first,js
3.91,0,first,js
0.92,1,first,ref
2.79,1,first,ref
2.89,1,first,ref
3.78,0,first,js
3.78,0,first,ref
3.78,0,first,js
0.56,1,first,ref
1.05,1,first,ref
2.63,1,first,js
3.68,1,first,ref
3.68,0,first,js
3.68,0,first,js
3.68,0,first,ref
3.68,0,first,ea
3.68,0,first,js
3.68,0,first,js
0.69,1,first,js
0.95,1,first,js
1.41,1,first,js
1.74,1,first,ref
1.94,1,first,ref
2.07,1,first,js
2.10,1,first,js
2.17,1,first,ref
2.20,1,first,js
2.30,1,first,js
2.56,1,first,ref
2.56,1,first,js
2.63,1,first,js
2.79,1,first,ref
2.79,1,first,js
3.48,1,first,ref
3.52,1,first,js
3.55,1,first,js
3.65,0,first,js
3.65,0,first,js
0.92,1,first,js
0.92,1,first,js
2.17,1,first,js
2.63,1,first,ref
3.52,1,first,js
3.55,0,first,ref
1.97,1,first,js
2.17,1,first,ref
3.45,0,first,js
3.45,0,first,ref
3.45,0,first,js
3.45,0,first,ea
3.45,0,first,js
1.05,1,first,js
1.87,1,first,js
2.07,1,first,js
3.38,0,first,ref
3.38,0,first,js
1.41,1,first,js
3.29,1,first,ref
3.32,0,first,ref
1.74,1,first,cs
2.23,1,first,ref
2.99,1,first,ref
3.25,0,first,js
3.19,0,first,ref
0.72,1,first,ref
3.12,0,first,js
0.46,1,first,js
1.54,1,first,ref
2.46,1,first,js
1.31,1,first,js
0.53,1,first,js
2.30,1,first,js
2.99,0,first,js
1.71,1,first,js
2.17,1,first,js
2.92,0,first,js
1.68,1,first,js
0.36,1,first,js
2.76,0,first,ref
2.73,0,first,ref
0.56,1,first,ref
0.79,1,first,js
1.18,1,first,ref
